3321,060 ESCUELA DE ARTES Y OFICIOS DE CALZADA   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3330,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3331,005 DELEGACION CLAYPOLE                     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3340,000 CASA MUNICIPAL                          ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3344,048 CERRETTI                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3348,043 CEMENTERIO MUNICIPAL                    ,N,Turno: 11 a 17                ,LU 0011 0017,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3348,117 CEMENTERIO PLANILLA                     ,S,Turno: 11 a 17                ,LU 0011 0017,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3351,048 CERRETTI                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3353,048 CERRETTI                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3358,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3359,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3360,000 CASA MUNICIPAL                          ,N,Turno: 19 a 7                 ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0019 0007,DO 0019 0007,FE 0019 0007
3367,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3369,043 CEMENTERIO MUNICIPAL                    ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3369,117 CEMENTERIO PLANILLA                     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3371,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3373,002 DELEGACION LONGCHAMPS                   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3394,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3403,063 C.A Nº24 BROMATOLOGIA                   ,N,Turno: 6 a 12                 ,LU 0006 0012,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3406,010 DELEGACION R.CALZADA                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3410,043 CEMENTERIO MUNICIPAL                    ,N,Turno: 12 a 18                ,   0012 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3410,117 CEMENTERIO PLANILLA                     ,S,Turno: 12 a 18                ,   0000 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3412,154 EREZCANO-CIC DON ORIONE                 ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3414,043 CEMENTERIO MUNICIPAL                    ,S,Turno: 11 a 17                ,LU 0011 0017,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3415,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3416,043 CEMENTERIO MUNICIPAL                    ,N,Turno: 7 a 13                 ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3416,117 CEMENTERIO PLANILLA                     ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3421,042 VIALIDAD                                ,F,"Turno: Sab,Dom y Fer 7 a 19   ",   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0007 0019,DO 0007 0019,FE 0007 0019
3426,042 VIALIDAD                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3428,048 CERRETTI                                ,N,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3436,042 VIALIDAD                                ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3437,138 SEC. DE GOBIERNO                        ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3439,046 - ESPACIOS   VERDES-                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3442,042 VIALIDAD                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3453,043 CEMENTERIO MUNICIPAL                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3457,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3461,048 CERRETTI                                ,N,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3465,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3478,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3479,063 C.A Nº24 BROMATOLOGIA                   ,F,Turno: 7 a 13                 ,LU 0007 0013,MA 0007 0013,MI 0007 0013,JU 0007 0013,VI 0007 0013,   0000 0000,   0000 0000,   0000 0000
3480,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3484,002 DELEGACION LONGCHAMPS                   ,S,Turno: Rotativo               ,LU 0010 0016,MA 0039 0039,MI 0039 0039,JU 0010 0016,VI 0010 0016,SA 0008 0014,   0000 0000,   0000 0000
3485,063 C.A Nº24 BROMATOLOGIA                   ,F,Turno: 14 a 20                ,LU 0014 0020,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3501,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3504,042 VIALIDAD                                ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3507,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3514,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3524,043 CEMENTERIO MUNICIPAL                    ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3527,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3541,063 C.A Nº24 BROMATOLOGIA                   ,F,Turno: 14 a 20                ,   0000 0000,   0000 0000,MI 0018 0024,JU 0018 0024,VI 0018 0024,SA 0018 0024,   0000 0000,   0000 0000
3557,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3583,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3585,052 GUARDERIA MUNICIPAL                     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3592,041 BIBLIOTECA                              ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3606,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3607,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3623,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3625,073 C. A. Nº10 - 28 DE DICIEMBRE.           ,S,Turno: 08 a 14                ,LU 0012 0018,   0000 0000,MI 0012 0018,   0000 0000,VI 0012 0018,   0000 0000,   0000 0000,   0000 0000
3626,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3633,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3650,002 DELEGACION LONGCHAMPS                   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
